Code,Domain,Theme,Sub-theme,Competency activity
SWM-04-02,Solid waste management,"Designing and implementing collection, intermediate storage and transport services for household and commercial waste",,"Select appropriate vehicles for primary and or secondary collection based on waste type, waste amounts, frequency of collection as well as local materials supply chain, topography and road infrastructure"
SWM-04-03,Solid waste management,"Designing and implementing collection, intermediate storage and transport services for household and commercial waste",,"Ensure infrastructure as well as operation and maintenance needs to ensure functionality of vehicles and service (e.g. spare parts, workshop, staffing, driving skills, etc.)"
SWM-04-04,Solid waste management,"Designing and implementing collection, intermediate storage and transport services for household and commercial waste",,"Select and implement appropriate governance systems for primary and secondary collection (e.g. financial sustainability, stakeholder engagement and role distribution, service contracts with private formal and informal sectors, staffing and capacity development)"
SWM-05-01,Solid waste management,Designing and implementing treatment and recycling systems and technologies,,"Describe organic waste treatment technologies (e.g., composting, anaerobic digestion, Black Soldier Fly waste processing, etc.) and their respective applicability, advantages, and limitations"
SWM-05-02,Solid waste management,Designing and implementing treatment and recycling systems and technologies,,"Select and implement appropriate organic waste treatment technologies (technical, economic, social, environmental, financial, and legal appropriateness) and ensure safe and effective reuse practices for organic waste derived products, considering public health, environmental factors and market opportunities"
SWM-05-03,Solid waste management,Designing and implementing treatment and recycling systems and technologies,,Select appropriate measures and engage with communities to enable capturing of organic waste
SWM-05-04,Solid waste management,Designing and implementing treatment and recycling systems and technologies,,"Design and implement appropriate measures for capturing and processing recyclables, considering existing formal and informal sector activities"
SWM-05-05,Solid waste management,Designing and implementing treatment and recycling systems and technologies,,Select appropriate measures and engaging with communities to enable capturing of recyclables
SWM-06-01,Solid waste management,Designing and implementing waste disposal/ landfilling,,"Select appropriate solid waste disposal sites, ensuring minimal impact on health and the environment"
SWM-06-02,Solid waste management,Designing and implementing waste disposal/ landfilling,,"Explain the concept of ""levels of control"" for solid waste disposal and the respective measures required to reach each level of control from basic level to higher levels"
SWM-06-03,Solid waste management,Designing and implementing waste disposal/ landfilling,,"Design disposal site infrastructure and select equipment and infrastructure to maximize the achievable level of control, ensuring at minimum a basic level of control is met"
SWM-06-04,Solid waste management,Designing and implementing waste disposal/ landfilling,,Ensure operation and maintenance requirements are in place to maintain disposal site functionality and to sustain at minimum a basic level of control
SWM-06-05,Solid waste management,Designing and implementing waste disposal/ landfilling,,"Select and implement appropriate governance systems for disposal site management including financial sustainability, stakeholder engagement and roles, service contracts with private (formal and informal) sector, staffing, and capacity development"
SWM-07-01,Solid waste management,Management of special waste fractions,,"Select and implement appropriate systems, technologies and community engagement measures for safe and effective practices for menstrual and incontinence waste management"
SWM-07-02,Solid waste management,Management of special waste fractions,,Select and implement appropriate systems and technologies to enable safe and effective practices for hazardous waste management
SWM-07-03,Solid waste management,Management of special waste fractions,,Select and implement appropriate systems and technologies to enable safe and effective practices for disaster waste management
SWM-07-04,Solid waste management,Management of special waste fractions,,"Select and implement appropriate measures to ""green"" humanitarian aid through the application of sustainability principles"
SWM-07-05,Solid waste management,Management of special waste fractions,,Select and implement appropriate systems and technologies to enable safe and effective practices for management of waste from sanitation facilities and drains
SWM-07-06,Solid Waste Management,Management of special waste fractions,,Select and implement appropriate systems and technologies to enable safe and effective practices for management of waste from electrical and electronic equipment
